wavelength,flux
3824.724,449.2021
3825.604,427.0546
3826.484,452.1338
3827.366,465.2491
3828.247,457.6823
3829.130,460.3753
3830.010,469.0118
3830.894,463.0739
3831.775,451.4203
3832.656,447.5157
3833.540,457.1408
3834.422,456.4211
3835.306,454.7979
3836.189,451.7321
3837.073,447.5029
3837.956,457.1715
3838.839,457.3780
3839.724,431.7545
3840.608,443.8789
3841.493,435.4400
3842.377,457.9244
3843.263,466.4249
3844.147,457.7102
3845.031,446.8444
3845.918,452.0247
3846.803,453.7900
3847.690,445.7452
3848.575,446.3602
3849.463,438.7505
3850.348,452.7473
3851.234,450.5598
3852.122,447.5716
3853.008,443.1089
3853.897,462.3234
3854.783,468.8962
3855.672,460.6091
3856.559,455.5205
3857.446,447.9706
3858.336,453.7382
3859.223,453.5275
3860.114,459.4014
3861.001,452.2312
3861.892,466.1088
3862.780,447.0004
3863.669,435.0139
3864.560,451.9667
3865.449,459.8873
3866.340,455.1290
3867.230,464.1441
3868.121,446.5147
3869.011,458.8535
3869.901,454.3541
3870.794,459.2709
3871.684,461.7991
3872.577,458.1870
3873.468,459.9580
3874.361,450.2743
3875.252,435.7710
3876.144,456.8141
3877.038,448.7962
3877.930,458.5608
3878.824,444.5414
3879.716,463.3175
3880.611,457.5434
3881.504,456.9197
3882.396,454.7787
3883.292,449.8952
3884.185,449.2173
3885.081,438.2260
3885.975,450.7253
3886.871,437.7588
3887.765,453.2782
3888.659,450.7711
3889.556,455.9791
3890.451,444.2863
3891.348,441.6815
3892.243,440.1314
3893.141,427.7035
3894.036,439.4803
3894.934,436.0225
3895.830,432.7671
3896.726,449.0992
3897.625,444.5346
3898.521,442.4444
3899.421,441.5637
3900.318,451.1231
3901.217,456.8949
3902.115,439.7068
3903.012,435.8189
3903.912,465.2701
3904.810,433.6393
3905.711,447.6403
3906.609,435.0833
3907.510,430.2729
3908.409,436.7846
3909.308,438.6138
3910.210,444.7061
3911.109,449.4983
3912.011,443.0067
3912.911,442.3830
3913.813,435.2283
3914.714,451.8432
3915.614,430.8679
3916.517,450.2992
3917.418,453.2562
3918.322,442.2739
3919.223,440.2799
3920.127,451.5518
3921.029,462.8030
3921.931,463.8456
3922.835,465.0526
3923.737,454.3217
3924.642,449.8232
3925.545,451.9965
3926.450,439.9647
3927.354,431.4940
3928.257,441.1006
3929.163,438.6680
3930.067,433.0969
3930.973,444.4645
3931.877,432.5591
3932.784,419.0039
3933.689,436.8472
3934.594,435.3210
3935.501,433.2452
3936.406,427.7435
3937.314,429.5041
3938.220,438.0515
3939.128,436.4550
3940.034,433.0947
3940.941,439.9209
3941.849,417.3870
3942.756,425.9621
3943.665,440.4149
3944.573,428.6540
3945.482,417.8544
3946.390,426.8705
3947.298,433.0748
3948.208,429.6678
3949.116,421.5485
3950.027,419.2117
3950.936,442.5073
3951.847,440.5952
3952.756,418.9079
3953.665,412.7577
3954.577,418.9843
3955.487,416.2434
3956.399,411.9881
3957.309,421.3972
3958.221,428.2979
3959.132,421.3442
3960.045,420.1792
3960.956,415.1631
3961.867,411.3993
3962.781,420.1743
3963.692,414.0592
3964.606,423.4384
3965.519,411.5137
3966.433,419.2555
3967.345,430.6622
3968.258,431.7719
3969.173,446.4182
3970.086,434.4386
3971.002,442.5161
3971.915,448.7238
3972.831,448.2251
3973.745,451.9594
3974.659,443.0463
3975.576,435.5091
3976.490,436.8052
3977.407,429.3370
3978.323,421.4240
3979.240,434.0939
3980.155,427.9875
3981.071,427.5593
3981.989,433.5008
3982.905,428.8337
3983.823,427.8866
3984.740,422.9467
3985.659,420.4946
3986.576,417.8790
3987.493,418.1095
3988.412,423.2099
3989.330,417.9687
3990.250,424.5156
3991.168,422.4163
3992.088,424.7599
3993.006,428.9600
3993.925,422.9240
3994.846,415.3504
3995.765,428.7302
3996.686,434.9393
3997.606,422.6448
3998.528,417.0444
3999.448,415.9487
4000.367,431.9042
4001.290,422.8229
4002.210,414.1396
4003.133,418.9725
4004.054,428.6689
4004.978,438.5082
4005.899,436.5388
4006.821,429.2608
4007.745,426.9239
4008.667,423.7553
4009.591,427.3259
4010.513,435.1768
4011.438,436.7455
4012.361,445.1617
4013.284,445.1942
4014.209,451.8192
4015.133,455.5166
4016.059,456.6797
4016.983,457.5875
4017.909,454.7366
4018.833,452.5805
4019.758,448.5612
4020.685,425.0479
4021.610,433.2067
4022.537,424.5782
4023.462,423.1130
4024.390,420.8277
4025.316,428.8950
4026.242,425.8607
4027.170,418.2677
4028.097,428.3359
4029.026,424.7776
4029.953,426.8646
4030.882,427.6450
4031.809,421.5183
4032.739,428.9722
4033.667,414.6111
4034.595,415.1827
4035.525,418.7710
4036.453,417.4402
4037.384,421.8879
4038.313,422.4079
4039.244,409.8114
4040.174,413.4713
4041.103,421.3067
4042.035,416.7904
4042.965,422.4426
4043.897,422.4717
4044.827,413.9600
4045.760,401.1178
4046.691,405.9402
4047.622,408.4199
4048.555,396.1500
4049.486,412.0289
4050.420,411.1010
4051.352,412.9562
4052.286,424.7797
4053.219,414.1304
4054.151,427.6159
4055.086,414.7946
4056.019,412.1735
4056.954,417.9730
4057.887,406.1417
4058.823,401.7757
4059.757,417.4173
4060.691,413.7925
4061.627,419.7216
4062.561,397.2346
4063.498,415.7560
4064.433,419.7501
4065.370,405.9119
4066.305,407.2633
4067.241,414.6124
4068.179,411.2828
4069.115,412.6334
4070.053,417.9991
4070.989,397.7488
4071.928,409.6484
4072.865,416.1001
4073.802,416.7690
4074.741,406.2024
4075.679,396.3081
4076.618,402.9074
4077.556,405.3333
4078.497,401.6290
4079.435,406.0565
4080.373,405.2811
4081.314,404.8497
4082.253,405.7388
4083.194,393.1289
4084.134,399.1996
4085.076,405.3338
4086.015,397.4442
4086.955,393.6471
4087.898,395.7185
4088.838,398.5608
4089.781,399.4942
4090.722,396.6730
4091.665,397.2669
4092.606,402.7508
4093.548,405.3126
4094.492,397.7810
4095.434,388.9794
4096.378,390.7031
4097.321,388.1757
4098.266,389.9976
4099.208,392.1612
4100.151,390.1698
4101.097,393.3254
4102.040,395.7065
4102.986,396.0423
4103.930,382.0806
4104.876,384.1389
4105.821,388.4632
4106.768,394.4558
4107.712,395.5513
4108.657,391.1504
4109.604,387.4493
4110.550,392.0168
4111.498,390.3344
4112.444,377.9904
4113.392,394.9775
4114.338,383.7358
4115.285,373.8245
4116.234,388.9623
4117.181,388.4834
4118.130,380.5060
4119.078,378.0204
4120.027,383.6654
4120.975,383.7126
4121.923,384.8730
4122.874,389.3150
4123.822,369.9289
4124.773,375.0050
4125.722,383.3394
4126.673,390.2368
4127.623,390.5016
4128.572,389.3362
4129.524,378.4399
4130.475,373.5623
4131.427,376.2729
4132.377,376.4976
4133.330,376.3488
4134.281,377.8398
4135.232,375.3810
4136.186,379.7926
4137.137,371.7278
4138.091,382.1312
4139.043,381.7686
4139.998,386.7832
4140.950,376.4365
4141.903,373.5070
4142.858,378.1618
4143.811,376.4848
4144.767,375.1758
4145.720,369.0370
4146.676,371.0744
4147.630,377.1430
4148.584,370.4102
4149.541,371.2198
4150.495,357.9341
4151.453,361.0707
4152.407,370.7531
4153.365,373.8564
4154.320,373.5313
4155.276,373.3434
4156.234,372.9271
4157.190,368.5515
4158.149,365.2172
4159.105,373.4051
