wavelength,flux
3794.897,66.5365
3795.770,69.0755
3796.646,71.6144
3797.519,67.7877
3798.395,70.9241
3799.269,64.7985
3800.143,65.6201
3801.019,63.7493
3801.893,70.8059
3802.770,74.8822
3803.645,69.4442
3804.522,75.7799
3805.397,80.0555
3806.273,72.7020
3807.150,66.0363
3808.026,64.1088
3808.904,74.1212
3809.781,68.0495
3810.659,63.6247
3811.536,70.5768
3812.413,65.2448
3813.292,64.7143
3814.169,67.0236
3815.048,65.3659
3815.926,66.3540
3816.806,64.2058
3817.684,64.1043
3818.562,66.2379
3819.443,66.6012
3820.322,65.0693
3821.202,65.0302
3822.082,68.5924
3822.963,70.6859
3823.842,64.6630
3824.724,68.7608
3825.604,72.3944
3826.484,67.1219
3827.366,63.3683
3828.247,66.6561
3829.130,68.2304
3830.010,72.7921
3830.894,66.2865
3831.775,69.1683
3832.656,64.2058
3833.540,67.7831
3834.422,67.2450
3835.306,68.0240
3836.189,67.6945
3837.073,57.7530
3837.956,78.2078
3838.839,63.9665
3839.724,68.6054
3840.608,68.0588
3841.493,63.3714
3842.377,62.0865
3843.263,69.0929
3844.147,71.2008
3845.031,63.4287
3845.918,68.9504
3846.803,64.9502
3847.690,69.9095
3848.575,68.1230
3849.463,70.5399
3850.348,65.8373
3851.234,56.1230
3852.122,60.9507
3853.008,72.3237
3853.897,63.7134
3854.783,65.2286
3855.672,63.7063
3856.559,64.8705
3857.446,64.4599
3858.336,58.6819
3859.223,59.2381
3860.114,64.7380
3861.001,66.3139
3861.892,66.1097
3862.780,60.6875
3863.669,58.8860
3864.560,58.9005
3865.449,71.8865
3866.340,63.8534
3867.230,69.1847
3868.121,76.0786
3869.011,70.7617
3869.901,68.6711
3870.794,55.8839
3871.684,63.2281
3872.577,71.9283
3873.468,64.6286
3874.361,66.1172
3875.252,62.4360
3876.144,68.7090
3877.038,69.7218
3877.930,58.6670
3878.824,72.2578
3879.716,65.8448
3880.611,70.2970
3881.504,68.1750
3882.396,65.9166
3883.292,69.5393
3884.185,65.6957
3885.081,63.1687
3885.975,65.4916
3886.871,61.7273
3887.765,73.4784
3888.659,67.1030
3889.556,61.6749
3890.451,58.4600
3891.348,64.0144
3892.243,67.6044
3893.141,65.3008
3894.036,60.8542
3894.934,58.0181
3895.830,59.9831
3896.726,63.9444
3897.625,62.3593
3898.521,63.4379
3899.421,66.9445
3900.318,66.1631
3901.217,64.6103
3902.115,67.0560
3903.012,66.7059
3903.912,60.9194
3904.810,64.9036
3905.711,58.6771
3906.609,63.1660
3907.510,66.9181
3908.409,65.6878
3909.308,59.8042
3910.210,66.5507
3911.109,72.3632
3912.011,60.2727
3912.911,60.2362
3913.813,65.2832
3914.714,67.7937
3915.614,69.7654
3916.517,64.4581
3917.418,64.0161
3918.322,67.3760
3919.223,63.8986
3920.127,61.2440
3921.029,69.7353
3921.931,64.7861
3922.835,62.4497
3923.737,63.9967
3924.642,63.9757
3925.545,65.9872
3926.450,66.1768
3927.354,59.4246
3928.257,56.2326
3929.163,61.6110
3930.067,59.6168
3930.973,62.8801
3931.877,66.6103
3932.784,63.4573
3933.689,62.3204
3934.594,62.5760
3935.501,57.7797
3936.406,57.8390
3937.314,63.1820
3938.220,59.4807
