wavelength,flux
3799.269,21.3212
3800.143,22.4765
3801.019,22.7322
3801.893,24.0919
3802.770,35.7396
3803.645,27.4864
3804.522,25.7873
3805.397,21.3995
3806.273,20.4791
3807.150,25.2352
3808.026,20.5500
3808.904,19.7252
3809.781,26.6541
3810.659,23.4464
3811.536,23.8002
3812.413,31.6776
3813.292,38.6028
3814.169,33.6350
3815.048,25.4862
3815.926,29.8854
3816.806,29.4790
3817.684,27.1704
3818.562,30.9079
3819.443,26.4721
3820.322,27.6670
3821.202,22.0933
3822.082,20.7360
3822.963,27.4362
3823.842,31.4208
3824.724,28.8286
3825.604,20.5053
3826.484,23.8315
3827.366,33.6298
3828.247,27.9582
3829.130,26.3534
3830.010,23.9317
3830.894,21.1999
3831.775,26.8304
3832.656,32.3924
3833.540,26.5454
3834.422,31.0371
3835.306,22.5973
3836.189,24.9788
3837.073,19.4551
3837.956,27.8801
3838.839,30.9332
3839.724,24.0397
3840.608,31.2356
3841.493,27.9376
3842.377,17.2021
3843.263,26.5163
3844.147,21.8521
3845.031,24.7844
3845.918,26.6406
3846.803,26.7912
3847.690,25.3783
3848.575,25.7036
3849.463,28.3135
3850.348,21.4543
3851.234,30.9469
3852.122,25.3394
3853.008,25.0755
3853.897,25.3123
3854.783,26.2330
3855.672,23.8884
3856.559,20.4904
3857.446,22.5568
3858.336,27.7230
3859.223,27.6294
3860.114,19.5841
3861.001,17.2474
3861.892,24.2245
3862.780,27.0973
3863.669,23.9847
3864.560,25.2748
3865.449,29.7481
3866.340,26.5073
3867.230,21.8962
3868.121,23.7687
3869.011,24.5962
3869.901,24.7672
3870.794,24.0022
3871.684,20.1876
3872.577,21.7330
3873.468,24.3230
3874.361,25.1610
3875.252,30.2975
3876.144,22.8899
3877.038,32.9676
3877.930,19.8630
3878.824,16.8892
3879.716,22.8725
3880.611,25.5466
3881.504,30.9258
3882.396,28.9780
3883.292,16.0290
3884.185,24.9874
3885.081,21.7511
3885.975,32.1357
3886.871,27.2965
3887.765,21.2501
3888.659,25.9131
3889.556,27.4886
3890.451,26.5704
3891.348,29.2688
3892.243,27.3244
3893.141,25.5128
3894.036,20.1204
3894.934,25.3636
3895.830,21.1851
3896.726,21.1802
3897.625,24.2588
3898.521,22.4711
3899.421,18.4725
3900.318,16.5601
3901.217,15.1935
3902.115,21.7112
