wavelength,flux
3806.273,13.9460
3807.150,15.4005
3808.026,17.6149
3808.904,12.6795
3809.781,14.6646
3810.659,5.6234
3811.536,12.9321
3812.413,14.8094
3813.292,13.6817
3814.169,14.8021
3815.048,12.4166
3815.926,9.1523
3816.806,13.7948
3817.684,17.2560
3818.562,14.7760
3819.443,15.8590
3820.322,11.9945
3821.202,12.4419
3822.082,14.7145
3822.963,13.5162
3823.842,12.2334
3824.724,10.0160
3825.604,10.5385
3826.484,7.5756
3827.366,16.8575
3828.247,9.4985
3829.130,10.9837
3830.010,16.2922
3830.894,14.9519
3831.775,12.3262
3832.656,8.8541
3833.540,12.1833
3834.422,16.1498
3835.306,14.5678
3836.189,10.6274
3837.073,12.9470
3837.956,15.1059
3838.839,14.2332
3839.724,13.7263
3840.608,12.5088
3841.493,10.7824
3842.377,16.7681
3843.263,12.0871
3844.147,10.2386
3845.031,13.1938
3845.918,12.2556
3846.803,11.3600
3847.690,12.8395
3848.575,12.8574
3849.463,13.2941
3850.348,13.7447
3851.234,10.6501
3852.122,13.2286
3853.008,14.8360
3853.897,14.4484
3854.783,14.3302
3855.672,14.2915
3856.559,13.2829
3857.446,12.0648
3858.336,11.6814
3859.223,13.9732
3860.114,10.3492
3861.001,13.0129
3861.892,11.3351
3862.780,11.3244
3863.669,13.0338
3864.560,12.0997
3865.449,12.1284
3866.340,13.9517
3867.230,13.9184
3868.121,9.0653
3869.011,13.3251
3869.901,11.4606
3870.794,11.8591
3871.684,14.7316
3872.577,14.1595
3873.468,11.9576
3874.361,11.6620
3875.252,10.0804
3876.144,10.3558
3877.038,12.2574
3877.930,12.5022
3878.824,10.6373
3879.716,11.4428
3880.611,14.1953
3881.504,13.6736
3882.396,11.4150
3883.292,13.6018
3884.185,11.7266
3885.081,11.8712
3885.975,13.1831
3886.871,12.9974
3887.765,14.7415
3888.659,14.0997
3889.556,11.8960
3890.451,13.6448
3891.348,14.9987
3892.243,10.8364
3893.141,14.5760
3894.036,12.2650
3894.934,11.9978
3895.830,11.7382
3896.726,12.9030
3897.625,13.9890
3898.521,11.7698
3899.421,11.7743
3900.318,19.0137
3901.217,15.3127
3902.115,14.0438
3903.012,16.7075
3903.912,12.3704
3904.810,11.4359
3905.711,13.9284
3906.609,14.1751
3907.510,13.0449
3908.409,13.8219
3909.308,14.7922
3910.210,13.4402
3911.109,14.6327
3912.011,11.6871
3912.911,16.1296
3913.813,14.8966
3914.714,11.8787
3915.614,13.6327
3916.517,12.8671
3917.418,11.5406
3918.322,14.5241
3919.223,14.7015
3920.127,15.9246
3921.029,14.6022
3921.931,15.9961
3922.835,14.2570
3923.737,12.0052
3924.642,13.5804
3925.545,13.2150
3926.450,14.6244
3927.354,14.6910
3928.257,11.8248
3929.163,15.5862
3930.067,12.0406
3930.973,16.4199
3931.877,17.2493
3932.784,11.8301
3933.689,12.1257
3934.594,14.7906
3935.501,14.2547
3936.406,11.7842
3937.314,13.6147
3938.220,13.8607
3939.128,14.2096
3940.034,14.7322
3940.941,14.3538
3941.849,13.8692
3942.756,13.6466
3943.665,12.7329
3944.573,13.8730
3945.482,13.4227
3946.390,15.1833
3947.298,14.1993
3948.208,14.0133
3949.116,13.9284
3950.027,12.7446
3950.936,12.2875
3951.847,14.1505
3952.756,15.9332
3953.665,12.1477
3954.577,14.5981
3955.487,14.4067
3956.399,16.3238
3957.309,16.1935
3958.221,15.3836
3959.132,15.4236
3960.045,14.9010
3960.956,14.2977
3961.867,14.5433
3962.781,15.6387
3963.692,11.3975
3964.606,14.4458
3965.519,15.3863
3966.433,14.3923
3967.345,14.0149
3968.258,14.3784
3969.173,13.8790
3970.086,12.7988
3971.002,16.9028
3971.915,15.1700
3972.831,12.5416
3973.745,14.2149
3974.659,14.8595
3975.576,15.0818
3976.490,16.1897
3977.407,15.8931
3978.323,13.9980
3979.240,13.8575
3980.155,12.3440
3981.071,12.8227
3981.989,13.9579
3982.905,12.5881
3983.823,11.4350
3984.740,13.2385
3985.659,13.4617
3986.576,12.2808
3987.493,14.4946
3988.412,14.0188
3989.330,12.2139
3990.250,13.4651
3991.168,12.8587
3992.088,13.8520
3993.006,13.5068
3993.925,13.7385
3994.846,14.7948
3995.765,13.9027
3996.686,13.1588
3997.606,16.4202
3998.528,14.8048
3999.448,13.5260
4000.367,15.9493
4001.290,14.9745
4002.210,12.3822
4003.133,12.3961
4004.054,12.9896
4004.978,12.4131
4005.899,13.2190
4006.821,13.6771
4007.745,12.5889
4008.667,11.9869
4009.591,12.4152
4010.513,13.5423
4011.438,11.4411
4012.361,11.7160
4013.284,14.7167
4014.209,14.1649
4015.133,11.5603
4016.059,11.4992
4016.983,12.1901
4017.909,13.2863
4018.833,11.7083
4019.758,13.3810
4020.685,13.7253
4021.610,13.2017
4022.537,11.9450
4023.462,10.4076
4024.390,12.1260
4025.316,13.5592
4026.242,14.0577
4027.170,12.1563
4028.097,11.9870
4029.026,13.1115
4029.953,13.4938
4030.882,12.0106
4031.809,10.5986
4032.739,11.3610
4033.667,12.3273
4034.595,12.0458
4035.525,14.2091
4036.453,12.3430
4037.384,14.6579
4038.313,12.1989
4039.244,12.8300
4040.174,14.4014
4041.103,12.9195
4042.035,11.6086
4042.965,11.8280
4043.897,10.7002
4044.827,13.4030
4045.760,13.9528
4046.691,10.6529
4047.622,13.4514
4048.555,15.1452
4049.486,13.7892
4050.420,14.4398
4051.352,14.2128
4052.286,10.3293
4053.219,12.5791
4054.151,13.3823
4055.086,14.0663
4056.019,12.2204
4056.954,13.0487
4057.887,14.8930
4058.823,13.9180
4059.757,12.1161
4060.691,12.9703
4061.627,14.6123
4062.561,14.1749
4063.498,12.7314
4064.433,12.7486
4065.370,12.9910
4066.305,12.2074
4067.241,11.9103
4068.179,12.5106
4069.115,12.6451
4070.053,12.3987
4070.989,13.0895
4071.928,13.3058
4072.865,11.1346
4073.802,12.6074
4074.741,14.6461
4075.679,13.6341
4076.618,12.9174
4077.556,14.7710
4078.497,15.2210
4079.435,13.5949
4080.373,12.7785
4081.314,13.0752
4082.253,15.3139
4083.194,12.3446
4084.134,14.9968
4085.076,14.5742
4086.015,13.3631
4086.955,14.0623
4087.898,13.1320
4088.838,11.8980
4089.781,12.8681
4090.722,13.3039
4091.665,13.9036
4092.606,12.7037
4093.548,14.0053
4094.492,10.6695
4095.434,14.0843
4096.378,14.6958
4097.321,12.5502
4098.266,13.0453
4099.208,15.4371
4100.151,14.7582
4101.097,11.9429
4102.040,14.1058
4102.986,14.8475
4103.930,14.4481
4104.876,14.6332
4105.821,14.6653
4106.768,13.7577
4107.712,14.3489
4108.657,14.9438
4109.604,13.4392
4110.550,13.7101
4111.498,14.9526
4112.444,14.2358
4113.392,12.3697
4114.338,13.4270
4115.285,12.1736
4116.234,13.4200
4117.181,13.1574
4118.130,13.3046
4119.078,14.8806
4120.027,13.3666
4120.975,13.7050
4121.923,16.0900
4122.874,12.4548
4123.822,13.9967
4124.773,13.3267
4125.722,12.4105
4126.673,13.3039
4127.623,14.3005
4128.572,13.6913
4129.524,13.1371
4130.475,14.5191
4131.427,14.4742
4132.377,13.9444
4133.330,13.3808
4134.281,11.8930
4135.232,13.2005
4136.186,13.9092
4137.137,13.1800
4138.091,13.9756
4139.043,14.9826
4139.998,13.6226
4140.950,12.6467
4141.903,11.7776
4142.858,14.6805
4143.811,15.7460
4144.767,15.2957
4145.720,17.4371
4146.676,17.1870
4147.630,15.9250
4148.584,15.1587
4149.541,13.0055
4150.495,12.0325
4151.453,14.9954
4152.407,12.7082
4153.365,13.3447
4154.320,12.5480
4155.276,15.5722
4156.234,15.1191
4157.190,14.6803
4158.149,15.5481
4159.105,14.0309
4160.065,12.0259
4161.022,13.2914
4161.979,14.2369
4162.939,17.9600
4163.896,13.6444
4164.856,12.4890
4165.815,14.4603
4166.775,13.8494
4167.734,13.9396
4168.693,15.2478
4169.654,14.2585
4170.613,13.0613
4171.575,15.1915
4172.535,15.1010
4173.497,15.5192
4174.457,12.5743
4175.417,15.5159
4176.380,12.9323
4177.341,14.6760
4178.304,16.0410
4179.265,13.8495
4180.229,12.7872
4181.191,13.3068
4182.155,14.6843
4183.117,14.8537
4184.080,12.6423
4185.044,13.3265
4186.007,14.6354
4186.972,14.1734
4187.936,12.4091
4188.901,12.8946
4189.865,13.0655
4190.829,12.4393
4191.795,13.7804
4192.759,13.2616
4193.726,14.0542
4194.691,13.2998
4195.658,12.4731
4196.624,11.8196
4197.589,13.0911
4198.557,13.3863
4199.523,12.9100
4200.491,12.9682
4201.458,13.0377
4202.426,13.4726
4203.393,14.5013
4204.360,12.1585
4205.330,13.0700
4206.297,11.8948
4207.267,12.4833
4208.235,14.2977
4209.205,12.4500
4210.174,12.5965
4211.142,12.9578
4212.113,11.8133
4213.082,11.9470
4214.054,10.4583
4215.023,13.7370
4215.995,13.9229
4216.965,14.0264
4217.935,14.7536
4218.908,14.8431
4219.878,14.7723
4220.852,14.6491
4221.822,14.8316
4222.796,15.4886
4223.768,15.3742
4224.739,14.4567
4225.713,15.1048
4226.686,13.8937
4227.660,13.4822
4228.633,14.2768
4229.608,14.4769
4230.581,15.6416
4231.554,15.0244
4232.530,15.9855
4233.503,16.4820
4234.480,14.1024
4235.454,15.6076
4236.431,16.7443
4237.405,14.1003
4238.380,16.9894
4239.357,14.6617
4240.333,15.2799
4241.311,15.5497
4242.286,15.7819
4243.264,16.6351
4244.241,15.3896
4245.217,14.4332
4246.196,16.1014
4247.173,14.7726
4248.152,16.1440
4249.129,15.3721
4250.109,13.8898
4251.087,15.6786
4252.065,16.3112
4253.045,17.3908
4254.024,15.6117
4255.005,14.1412
4255.983,15.8109
4256.965,16.4759
4257.944,15.8190
4258.926,15.2051
4259.906,14.0420
4260.886,15.2807
4261.869,15.8380
4262.849,14.9041
4263.832,14.8327
4264.813,15.6273
4265.796,12.4417
4266.778,12.9717
4267.759,17.8916
4268.743,15.5146
4269.726,13.8270
4270.710,14.0821
4271.692,14.4976
4272.677,13.8331
4273.661,15.0764
4274.644,14.0467
4275.629,14.7588
4276.613,16.4716
4277.599,15.2657
4278.583,14.1328
4279.570,15.6068
4280.554,14.9803
4281.539,13.7022
4282.526,14.3985
4283.512,14.1003
4284.499,13.6942
4285.485,14.9552
4286.473,15.4156
4287.459,15.6175
4288.445,17.1254
4289.435,15.9256
4290.421,13.5513
4291.411,15.2056
4292.398,15.3055
4293.388,13.9263
4294.375,14.3134
4295.363,15.2215
4296.354,15.8227
4297.342,13.8257
4298.333,15.3493
4299.322,15.2653
4300.313,15.0977
4301.303,15.0713
4302.292,14.4537
4303.284,14.9925
4304.274,13.7863
4305.267,14.8459
4306.257,15.9908
4307.250,14.4497
4308.241,15.7833
4309.232,15.3933
4310.226,16.4222
4311.217,15.1928
4312.211,13.8199
4313.204,14.5722
4314.198,15.0719
4315.190,15.1315
4316.184,15.5495
4317.179,14.2971
4318.172,15.1823
4319.167,14.2828
4320.161,15.7460
4321.157,14.0854
4322.151,14.4764
4323.146,15.6119
4324.143,16.4299
4325.138,15.8137
4326.135,14.0263
4327.130,14.7828
4328.128,15.7999
4329.124,13.8881
4330.120,15.6142
4331.118,14.6303
4332.114,14.8256
4333.113,15.1954
4334.110,15.1595
4335.110,15.3818
4336.107,16.2631
4337.107,16.5634
4338.104,16.0416
4339.103,15.4096
4340.103,14.8331
4341.102,16.7790
4342.103,14.0691
4343.102,15.0031
4344.103,15.5122
4345.103,13.8643
4346.102,14.3173
4347.104,13.3082
4348.104,14.5344
4349.107,15.8792
4350.107,15.5193
4351.110,17.0914
4352.111,15.9135
4353.113,14.1994
4354.117,16.7972
4355.118,15.7857
4356.123,14.8298
4357.125,15.1570
4358.129,17.5999
4359.132,15.3233
4360.135,14.0214
4361.140,14.8648
4362.144,15.1045
4363.149,15.2181
4364.153,15.3032
4365.159,16.2998
4366.164,16.1569
4367.168,15.2754
4368.175,16.1080
4369.180,14.9663
4370.188,15.3485
4371.193,14.2931
4372.201,14.6975
4373.207,15.3894
4374.213,14.8849
4375.221,15.7114
4376.228,16.9066
4377.237,14.5268
4378.244,13.6494
4379.253,15.7300
4380.261,14.7123
4381.269,14.8651
4382.279,15.4526
4383.287,15.5191
4384.298,15.4812
4385.307,16.9199
4386.318,16.7410
4387.327,14.5022
4388.336,14.6445
4389.348,16.7693
4390.358,16.2999
4391.370,15.6756
4392.380,15.6616
4393.394,15.9069
4394.404,15.2213
4395.415,13.9289
4396.429,14.1426
4397.440,14.0911
4398.454,14.4735
4399.466,14.6769
4400.480,15.5217
4401.493,16.4098
4402.505,14.1324
4403.521,14.4202
4404.534,15.9652
4405.549,14.6457
4406.562,14.3399
4407.579,14.1405
4408.593,13.8130
4409.607,13.3956
4410.624,14.1610
4411.639,15.4943
4412.656,14.6834
4413.671,13.5753
4414.688,14.1069
4415.704,13.9321
4416.723,14.2514
4417.739,14.3360
4418.755,12.6854
4419.774,13.9554
4420.791,12.5644
4421.810,15.0400
4422.827,15.2123
4423.847,14.5467
4424.865,14.6935
4425.883,13.7840
4426.903,14.1152
4427.922,15.4118
4428.943,13.9576
4429.962,14.3075
4430.983,15.0342
4432.002,14.1597
4433.022,15.3985
4434.044,15.6248
4435.064,15.6815
4436.087,14.5885
4437.108,14.8189
4438.131,13.6713
4439.152,13.6503
4440.173,15.8078
4441.197,15.2121
4442.219,13.0644
4443.243,14.8885
4444.265,15.6730
4445.290,16.7738
4446.312,15.8259
4447.335,14.2170
4448.361,15.2236
4449.384,16.8971
4450.411,15.4411
4451.434,15.4890
4452.461,15.5660
4453.485,15.0127
4454.510,14.2735
4455.537,13.1215
4456.562,13.4618
4457.589,13.8189
4458.615,14.2240
4459.643,15.2144
4460.669,15.6146
4461.695,15.2857
4462.724,15.0494
4463.750,14.1094
4464.780,14.9606
4465.807,15.1818
4466.837,14.3114
4467.864,13.7683
4468.892,13.5073
4469.923,12.7949
4470.951,12.6685
4471.982,14.5274
4473.011,14.1949
4474.042,14.1175
4475.072,13.0265
