wavelength,flux
4098.266,94.8331
4099.208,89.8952
4100.151,89.5927
4101.097,89.5665
4102.040,85.2710
4102.986,87.7927
4103.930,89.8231
4104.876,92.0594
4105.821,87.8762
4106.768,86.3556
4107.712,90.6896
4108.657,88.2756
4109.604,92.6178
4110.550,92.6399
4111.498,90.7283
4112.444,93.8559
4113.392,88.0217
4114.338,85.3915
4115.285,87.7748
4116.234,89.0511
4117.181,87.0737
4118.130,83.5819
4119.078,90.2890
4120.027,89.3965
4120.975,86.3184
4121.923,90.2484
4122.874,91.1802
4123.822,85.4934
4124.773,89.1133
4125.722,91.7321
4126.673,92.8707
4127.623,86.1452
4128.572,91.3418
4129.524,90.8737
4130.475,91.0858
4131.427,90.1852
4132.377,87.6498
4133.330,92.5877
4134.281,89.0850
4135.232,88.9672
4136.186,87.4629
4137.137,91.4138
4138.091,89.1214
4139.043,93.0879
4139.998,94.2686
4140.950,92.3663
4141.903,92.1462
4142.858,89.9820
4143.811,85.7281
4144.767,88.4047
4145.720,94.6691
4146.676,87.1645
4147.630,92.2681
4148.584,94.4663
4149.541,98.8393
4150.495,95.0576
4151.453,88.5712
4152.407,89.5704
4153.365,91.4482
4154.320,90.3716
4155.276,90.7734
4156.234,86.9146
4157.190,86.3848
4158.149,88.4757
4159.105,90.7757
4160.065,84.2034
4161.022,85.5866
4161.979,88.7059
4162.939,85.5256
4163.896,85.5533
4164.856,84.0095
4165.815,92.0956
4166.775,86.6416
4167.734,86.3473
4168.693,86.4114
4169.654,91.8446
4170.613,90.2741
4171.575,86.8215
4172.535,89.9525
4173.497,92.6259
4174.457,89.0671
4175.417,88.2281
4176.380,89.5207
4177.341,85.4120
4178.304,85.1103
4179.265,84.6441
4180.229,89.4274
4181.191,91.2087
4182.155,85.5269
4183.117,82.8180
4184.080,85.9984
4185.044,88.0713
4186.007,91.6636
4186.972,83.6037
4187.936,84.8370
4188.901,88.5131
4189.865,86.0655
4190.829,89.7266
4191.795,85.7297
4192.759,84.0074
4193.726,88.5729
4194.691,87.5296
4195.658,87.1039
4196.624,87.3208
4197.589,86.2609
4198.557,89.9734
4199.523,87.6223
4200.491,89.9759
4201.458,86.1661
4202.426,87.7374
4203.393,88.0171
4204.360,85.4783
4205.330,86.0273
4206.297,82.7827
4207.267,88.6300
4208.235,83.4023
4209.205,87.8208
4210.174,89.8029
4211.142,84.1655
4212.113,88.2063
4213.082,88.1093
4214.054,83.7882
4215.023,85.0254
4215.995,89.1400
4216.965,86.6817
4217.935,84.0956
4218.908,86.6475
4219.878,85.3999
4220.852,87.8261
4221.822,87.3554
4222.796,87.6321
4223.768,86.6095
4224.739,84.9503
4225.713,86.0173
4226.686,87.1840
4227.660,82.8940
4228.633,79.2711
4229.608,82.5605
4230.581,87.5909
4231.554,83.9158
4232.530,80.8779
4233.503,88.1813
4234.480,83.9465
4235.454,82.3129
4236.431,88.0484
4237.405,87.5974
4238.380,86.8476
4239.357,88.3482
4240.333,83.3160
4241.311,85.1210
4242.286,84.3451
4243.264,84.1194
4244.241,87.2817
4245.217,83.1041
4246.196,85.1992
4247.173,87.1763
4248.152,82.9502
4249.129,82.8005
4250.109,84.5328
4251.087,84.6621
4252.065,81.7689
4253.045,78.6129
4254.024,83.0503
4255.005,82.7514
4255.983,81.6761
4256.965,81.1955
4257.944,81.9507
4258.926,81.8470
4259.906,79.1870
4260.886,78.5125
4261.869,80.0901
4262.849,81.4830
4263.832,78.6904
4264.813,83.0490
4265.796,84.5651
4266.778,82.5709
4267.759,81.4810
4268.743,79.8007
4269.726,78.5547
4270.710,79.1655
4271.692,79.7007
4272.677,78.5561
4273.661,77.1785
4274.644,78.6040
4275.629,80.0439
4276.613,77.2007
4277.599,77.8315
4278.583,76.4740
4279.570,75.4996
4280.554,74.8581
4281.539,79.3827
4282.526,82.7191
4283.512,79.2572
4284.499,83.4888
4285.485,77.7257
4286.473,80.6001
4287.459,81.4732
4288.445,80.5619
4289.435,80.5186
4290.421,80.4363
4291.411,80.5558
4292.398,83.0157
4293.388,81.9398
4294.375,77.5393
4295.363,79.6145
4296.354,81.0482
4297.342,78.5820
4298.333,78.8868
4299.322,79.2905
4300.313,77.1294
4301.303,80.6576
4302.292,81.5831
4303.284,75.9448
4304.274,76.4850
4305.267,80.0931
4306.257,78.7829
4307.250,80.6253
4308.241,78.8481
4309.232,76.3359
4310.226,77.9817
4311.217,79.4990
4312.211,76.9993
4313.204,80.9256
4314.198,77.5088
4315.190,79.1267
4316.184,82.2036
4317.179,77.7234
4318.172,77.8705
4319.167,79.6441
4320.161,74.6191
4321.157,82.5349
4322.151,76.2700
4323.146,81.8060
4324.143,82.3147
4325.138,78.9391
4326.135,79.4873
4327.130,80.2236
4328.128,78.0814
4329.124,78.6426
4330.120,82.8853
4331.118,80.1876
4332.114,73.5642
4333.113,82.6715
4334.110,78.8735
4335.110,78.8201
4336.107,78.4389
4337.107,77.4574
4338.104,83.2489
4339.103,81.5880
4340.103,78.4207
4341.102,80.0748
4342.103,80.4244
4343.102,81.0292
4344.103,81.1802
4345.103,81.4342
4346.102,76.4251
4347.104,82.5296
4348.104,77.4046
4349.107,75.5787
4350.107,76.1309
4351.110,80.2465
4352.111,78.8170
4353.113,78.2788
4354.117,82.2750
4355.118,78.0856
4356.123,79.5508
4357.125,79.7622
4358.129,77.7062
4359.132,80.8218
4360.135,76.6844
4361.140,81.3047
4362.144,79.6014
4363.149,77.5986
4364.153,80.6780
4365.159,81.0794
4366.164,77.5596
4367.168,76.1443
4368.175,76.7434
4369.180,79.7439
4370.188,81.0567
4371.193,77.7779
4372.201,73.5567
4373.207,76.2758
4374.213,80.6627
4375.221,78.7248
4376.228,78.5288
4377.237,78.2174
4378.244,76.9410
4379.253,77.6466
4380.261,76.4923
4381.269,74.5615
4382.279,76.3478
4383.287,80.6623
4384.298,80.9623
4385.307,74.8415
4386.318,78.4159
4387.327,78.5186
4388.336,77.4431
4389.348,76.3822
4390.358,77.8860
4391.370,79.3203
4392.380,77.4266
4393.394,77.1325
4394.404,76.9841
4395.415,79.9179
4396.429,79.9277
4397.440,70.8449
4398.454,77.0446
4399.466,78.2658
4400.480,74.5833
4401.493,78.2927
4402.505,80.7980
4403.521,78.7417
4404.534,77.4551
4405.549,76.2210
4406.562,75.6904
4407.579,74.0408
4408.593,76.5004
4409.607,73.8342
4410.624,74.9356
4411.639,73.7401
4412.656,73.4037
4413.671,78.5982
4414.688,78.9323
4415.704,76.5507
4416.723,75.6076
4417.739,73.4442
4418.755,72.4165
4419.774,75.6256
4420.791,76.1445
4421.810,73.2734
4422.827,73.6311
4423.847,75.8248
4424.865,75.6917
4425.883,77.6640
4426.903,70.2517
4427.922,74.2346
4428.943,78.4737
4429.962,75.1551
4430.983,75.1478
4432.002,76.8178
4433.022,74.9401
4434.044,75.7750
4435.064,72.6528
4436.087,77.7552
4437.108,76.8624
4438.131,75.4260
4439.152,71.4761
4440.173,72.0246
4441.197,71.5345
4442.219,74.9632
4443.243,75.6581
4444.265,75.7357
4445.290,78.8410
4446.312,72.8128
4447.335,71.5811
4448.361,71.5221
4449.384,69.0255
4450.411,74.1654
4451.434,69.5412
4452.461,73.9999
4453.485,74.1323
4454.510,72.3767
4455.537,72.2149
4456.562,71.1158
4457.589,72.3523
4458.615,75.0995
4459.643,74.8685
4460.669,72.2427
4461.695,67.3846
4462.724,68.9128
4463.750,70.0466
4464.780,75.6367
4465.807,72.6214
4466.837,73.6701
4467.864,73.3985
4468.892,72.4641
4469.923,69.8655
4470.951,71.2546
4471.982,73.6048
4473.011,72.2836
4474.042,71.3827
4475.072,71.4851
4476.101,76.0194
4477.133,68.7965
4478.163,73.6576
4479.196,76.3394
4480.227,75.9707
4481.259,72.4409
4482.291,70.9081
4483.321,69.2945
4484.355,69.8555
4485.387,70.1684
4486.421,67.4349
4487.454,68.5677
4488.488,72.7480
4489.521,68.3093
4490.554,71.6858
4491.589,71.7834
4492.623,73.2701
4493.658,76.6201
4494.692,72.1050
4495.729,70.4996
4496.763,74.6551
4497.800,74.7720
4498.834,74.2799
4499.870,71.3653
4500.907,68.6692
4501.942,67.4696
4502.980,66.4633
4504.017,71.8476
4505.055,65.4537
4506.091,73.5402
4507.128,69.3708
4508.167,73.2030
4509.205,69.3684
